Quality Alloys;;;;
Lbs. of Material Sold Per Week;;;;
Week of Jan. 3, 2005 through week of July 19, 2010.;;;;
;;;;
Week;Lbs. Sold;;;
2/01/2005;23.662;;;
9/01/2005;12.699;;;
16/01/2005;23.095;;;
23/01/2005;27.944;;;
30/01/2005;20.516;;;
6/02/2005;25.546;;;
13/02/2005;20.023;;;
20/02/2005;35.247;;;
27/02/2005;23.615;;;
6/03/2005;16.655;;;
13/03/2005;14.748;;;
20/03/2005;18.159;;;
27/03/2005;22.149;;;
3/04/2005;14.492;;;
10/04/2005;19.012;;;
17/04/2005;14.678;;;
24/04/2005;30.844;;;
1/05/2005;17.701;;;
8/05/2005;15.220;;;
15/05/2005;15.504;;;
22/05/2005;23.957;;;
29/05/2005;16.153;;;
5/06/2005;15.901;;;
12/06/2005;26.637;;;
19/06/2005;16.538;;;
26/06/2005;26.581;;;
3/07/2005;4.536;;;
10/07/2005;26.737;;;
17/07/2005;18.003;;;
24/07/2005;30.773;;;
31/07/2005;12.409;;;
7/08/2005;11.804;;;
14/08/2005;23.045;;;
21/08/2005;28.865;;;
28/08/2005;21.608;;;
4/09/2005;17.369;;;
11/09/2005;20.737;;;
18/09/2005;22.595;;;
25/09/2005;20.309;;;
2/10/2005;22.996;;;
9/10/2005;12.779;;;
16/10/2005;20.803;;;
23/10/2005;20.969;;;
30/10/2005;21.603;;;
6/11/2005;11.307;;;
13/11/2005;20.819;;;
20/11/2005;8.741;;;
27/11/2005;18.382;;;
4/12/2005;16.858;;;
11/12/2005;26.865;;;
18/12/2005;16.668;;;
25/12/2005;18.211;;;
1/01/2006;12.383;;;
8/01/2006;15.179;;;
15/01/2006;25.430;;;
22/01/2006;18.630;;;
29/01/2006;14.435;;;
5/02/2006;20.673;;;
12/02/2006;16.746;;;
19/02/2006;22.465;;;
26/02/2006;25.554;;;
5/03/2006;19.803;;;
12/03/2006;20.948;;;
19/03/2006;16.733;;;
26/03/2006;33.023;;;
2/04/2006;18.688;;;
9/04/2006;15.146;;;
16/04/2006;18.491;;;
23/04/2006;36.856;;;
30/04/2006;14.443;;;
7/05/2006;24.897;;;
14/05/2006;10.841;;;
21/05/2006;35.834;;;
28/05/2006;28.048;;;
4/06/2006;15.389;;;
11/06/2006;11.785;;;
18/06/2006;22.207;;;
25/06/2006;22.022;;;
2/07/2006;14.172;;;
9/07/2006;19.088;;;
16/07/2006;22.882;;;
23/07/2006;23.800;;;
30/07/2006;23.144;;;
6/08/2006;29.106;;;
13/08/2006;15.125;;;
20/08/2006;13.208;;;
27/08/2006;27.332;;;
3/09/2006;15.273;;;
10/09/2006;11.398;;;
17/09/2006;17.026;;;
24/09/2006;32.999;;;
1/10/2006;19.499;;;
8/10/2006;13.902;;;
15/10/2006;10.420;;;
